deviceid,lat,lng,mapid,scale,start,end,duration
100,0.18997030116599,-0.221897605614511,actlab,27,1492590011588,1492590027524,15936
100,0.184684218724826,-0.258813158907893,actlab,27,1492590027524,1492590079814,52290
100,0.217821181985064,-0.231964745779827,actlab,27,1492590079814,1492590088028,8214
100,0.20455181563086,-0.268038127819607,actlab,27,1492590088028,1492590111538,23510
100,0.212291493569349,-0.226701336977444,actlab,27,1492590111538,1492590123335,11797
100,0.185729271009743,-0.253297942660013,actlab,27,1492590123335,1492590135130,11795
100,0.210222732150522,-0.221973937268545,actlab,27,1492590135130,1492590152811,17681
100,0.203950571361782,-0.260716648141417,actlab,27,1492590152811,1492590191674,38863
100,0.203157883154065,-0.222072312644249,actlab,27,1492590191674,1492590237535,45861
100,0.204598489921854,-0.259703686086994,actlab,27,1492590237535,1492590245771,8236
100,0.165418882466134,-0.255790430371673,actlab,27,1492590245771,1492590268113,22342
100,0.191152793759959,-0.22766026504081,actlab,27,1492590268113,1492590275784,7671
100,0.179742447675487,-0.266069874422866,actlab,27,1492590275784,1492590337518,61734
100,0.207126012016194,-0.24013213189342,actlab,27,1492590337518,1492590415636,78118
100,0.214134383616194,-0.276508042194315,actlab,27,1492590415636,1492590443826,28190
100,0.204007123625968,-0.236200866034339,actlab,27,1492590443826,1492590449707,5881
100,0.220607126849933,-0.201044371589936,actlab,27,1492590449707,1492590452641,2934
100,0.219196745065309,-0.238837163224747,actlab,27,1492590452641,1492590471417,18776
100,0.194411136390227,-0.205411988948847,actlab,27,1492590471417,1492590474351,2934
100,0.23195904727647,-0.204194353487523,actlab,27,1492590474351,1492590490203,15852
100,0.250433384726943,-0.245561193726482,actlab,27,1492590490203,1492590493727,3524
100,0.207376543935417,-0.226511915869826,actlab,27,1492590493727,1492590521303,27576
100,0.247183273260877,-0.232820049423523,actlab,27,1492590521303,1492590525408,4105
100,0.218630126551694,-0.257544673700803,actlab,27,1492590525408,1492590537732,12324
100,0.256623013195669,-0.251179323072265,actlab,27,1492590537732,1492590542427,4695
100,0.222755696203662,-0.226091193879054,actlab,27,1492590542427,1492590558896,16469
100,0.221840067533863,-0.264479547054019,actlab,27,1492590558896,1492590568880,9984
100,0.177273478245332,-0.268086657802528,actlab,27,1492590568880,1492590572405,3525
100,0.219185727419623,-0.268783333120783,actlab,27,1492590572405,1492590584727,12322
100,0.226308460822781,-0.231381245964024,actlab,27,1492590584727,1492590595874,11147
