BeaconId, lat, lng
100, 0.24152555769020978, -0.25334578717919953
101, 0.11243684494436934, -0.24922591413232453
102, 0.030664766767216634, -0.2539694016308829
103, -0.026440973089293607, -0.25532906216346873
104, -0.024720317479378195, -0.19466400146484375
105, 0.0329579025924005, -0.19054412841796875
106, 0.11329535499274357, -0.18917083740217322
107, 0.24101078253046637, -0.18848419189453125
108, 0.2404027200662, -0.12969393585441935
109, 0.11349433768339168, -0.12882628358394754
110, 0.03348978263707636, -0.12752539527343743
111, -0.024399744337316065, -0.12687495111805447
112, -0.024720317479378195, -0.05939483642561072
113, 0.03227125719575952, -0.06076812744140625
114, 0.11398199915009855, -0.060081481933508485
115, 0.23895086407601696, -0.05939483642561072
116, -0.02374191450097385, 0.007209777832059672
117, 0.03054593289972729, 0.006209927099149581
118, 0.11512508088726747, 0.003776550293252967
119, 0.23865914198560745, 0.006592733485547342
120, 0.23959674771236905, 0.07866260041191708
121, 0.11366243005164733, 0.07866540195578864
122, 0.029928880806679103, 0.08061124600646963
123, -0.020993354139108078, 0.0797630898705961
124, 0.2382642245223252, 0.16445159912117902
125, 0.11329535499274357, 0.16170501708984375
126, 0.03433119337113055, 0.16101837158220178
127, -0.024720317479378195, 0.15964508056640625
