Checkpoint, Device, BeaconX, BeaconY
1, 1, -0.03743332405332348, -0.002578577243040603
1, 1, -0.027673089881950132, -0.0037264184067765014
2, 1, -0.008833522767146234, 0.001595543613519201
3, 1, -0.0056933920087292, 0.0007417294618375498
3, 1, -0.011373905726713552, 0.007937972940464689
3, 1, -0.012099382915685849, 0.011496733620592437
3, 1, -0.003461993588002091, 0.0026952822348822523
3, 1, -0.008126203757727454, 0.0025918337752200474
3, 1, -0.008833522767146234, 0.001595543613519201
3, 1, 0.0035918322809801555, 0.00049173372593592
3, 1, -0.009829653521583145, 0.002211399623219515
3, 1, 0.0023652547956362637, 0.004800868764830107
4, 1, 0.0035918322809801555, 0.00049173372593592
5, 1, -0.005557269572817052, 0.017751973200010755
6, 1, -0.011373905726713552, 0.007937972940464689
6, 1, -0.012099382915685849, 0.011496733620592437
7, 1, -0.020885605817246473, 0.005623823179187691
8, 1, -0.020885605817246473, 0.005623823179187691
8, 1, -0.03743332405332348, -0.002578577243040603
8, 1, -0.027673089881950132, -0.0037264184067765014
8, 1, -0.02351435783879125, 0.014294568166707102
9, 1, -0.03252374824729436, 0.013852963664036244
9, 1, -0.03857862957614635, 0.014406817085775315
9, 1, -0.03860287348640814, 0.010123569447496235
9, 1, -0.03172486551637761, 0.021616219091761073
10, 1, -0.02351435783879125, 0.014294568166707102
10, 1, -0.017359430174922214, 0.016671393832209273
11, 1, -0.011081608309365925, 0.02027640825698281
11, 1, -0.010881429097101757, 0.027413897705949562
11, 1, -0.010564904514065538, 0.03297285936485873
11, 1, -0.018771753961482115, 0.020382331067658264
12, 1, -0.010881429097101757, 0.027413897705949562
12, 1, -0.010564904514065538, 0.03297285936485873
13, 1, -0.016369601403787588, 0.03847990843963285
13, 1, -0.017119870179151328, 0.04352310746366497
14, 1, -0.02817261964225267, 0.04308201287672305
15, 1, -0.03172486551637761, 0.021616219091761073
15, 1, -0.0333842937761175, 0.026038038539372015
15, 1, -0.0361094735381499, 0.029733747490118544
15, 1, -0.03186492752493781, 0.027261089355592977
16, 1, -0.03857862957614635, 0.014406817085775315
18, 1, -0.057616964652427806, 0.030343176801604997
19, 1, -0.06353483489465933, 0.04764190293561488
19, 1, -0.0513578346560802, 0.037196984304879756
19, 1, -0.058015276145928295, 0.05551205786499902
22, 1, 0.015233734459198373, 0.09058348709083344
23, 1, 0.02730203172681463, 0.06907188951439933
23, 1, 0.024176988153634487, 0.06636178247524303
23, 1, 0.030489846132458084, 0.06785052880063618
23, 1, 0.028081762339859085, 0.06755667168969959
24, 1, 0.0325038824792858, 0.06636151609905046
24, 1, 0.024176988153634487, 0.06636178247524303
24, 1, 0.028081762339859085, 0.06755667168969959
26, 1, 0.04185408496038926, 0.06710957036993885
26, 1, 0.05218526147171365, 0.0666445248803456
26, 1, 0.03872284267895005, 0.06420885601993515
26, 1, 0.04715361891091779, 0.05900140930208279
26, 1, 0.05536333200309676, 0.06611984301227089
26, 1, 0.04290040617392509, 0.06166819605532368
27, 1, 0.037185407183105076, 0.06850170606380561
27, 1, 0.04799905683940185, 0.06945630381632337
27, 1, 0.04017504798174576, 0.06856930145132252
27, 1, 0.039088746729137404, 0.06882713933248479
27, 1, 0.03573051722492106, 0.06767666357573796
27, 1, 0.043187410214498505, 0.06841079317472346
27, 1, 0.04185408496038926, 0.06710957036993885
27, 1, 0.05218526147171365, 0.0666445248803456
27, 1, 0.03872284267895005, 0.06420885601993515
28, 1, 0.03595701464082056, 0.08014440496289749
29, 1, 0.060057703558054384, 0.06931593448162307
29, 1, 0.06477695356114213, 0.07126019303948493
29, 1, 0.06628547051685393, 0.07145620314867483
30, 1, 0.0557815042199554, 0.07034096840121504
31, 1, 0.05141434192755761, 0.08734709601458306
1, 2, -0.03138614749349507, -0.004726043946761938
2, 2, -0.009255472179816947, -0.0009657206645145731
