Device, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 123, 124, 125, 126, 127, 128, 200, 201, 405, 777, 888, 999
123, Empty, 3.76, Empty, 0.375, 2.666, 2.39, Empty, Empty, 80.726, 98.241, 20.947, 7.609, 4.697, 52.627, 53.106, 5.294, 146.83, 555.917, 62.768, 100.048, Empty, 242.987, 745.425, NA, 0.59, 127.356, 345.267, 538.97, Empty, 0.004, Empty, Empty, Empty, 3.707, 0.002
124, 0.295, Empty, 0.152, Empty, Empty, 0.141, 2.103, 7.874, Empty, Empty, 2.753, 0.143, Empty, Empty, 3.864, Empty, 0.239, 2.172, 15.366, Empty, 31.707, 17.612, 2.34, Empty, NA, Empty, 7.466, 0.497, 50.578, 0.001, 90.609, 24.782, 8.085, 19.064, 0.295
125, Empty, 14.46, Empty, 0.733, 15.408, 73.013, Empty, Empty, 559.551, 343.714, 120.935, 36.129, 42.343, 79.118, 280.158, 333.467, 94.375, 169.451, 347.855, 529.78, Empty, 226.393, 65.555, 127.356, 29.413, NA, 389.069, 122.476, Empty, 0.55, 60.225, Empty, Empty, 6.53, 0.007
126, 8.359, 8.959, 14.887, Empty, Empty, 75.062, 10.771, 77.545, 454.994, 256.168, Empty, Empty, 49.164, 136.801, 238.471, Empty, 258.572, 506.657, Empty, 236.894, 341.239, Empty, Empty, 345.267, Empty, 389.069, NA, 133.517, 9.165, 0.053, 10.693, 103.127, 7.294, 4.684, Empty
127, 1.354, 1.781, 5.783, Empty, 6.751, 2.213, 1.664, 1.705, 12.58, 69.358, Empty, Empty, Empty, 28.446, 36.643, Empty, 141.854, 250.512, Empty, 71.501, 84.981, Empty, Empty, 538.97, Empty, 122.476, Empty, NA, 5.608, 0.047, 0.058, 13.956, 3.805, 1.964, Empty
128, Empty, 1.246, Empty, 0.415, 0.533, 0.681, Empty, Empty, 4.291, 5.333, 1.251, 1.024, 0.896, 1.375, 4.615, 2.325, 5.041, 13.502, 4.606, 7.467, Empty, 8.622, 8.166, 15.077, 50.578, 12.402, 9.165, Empty, NA, 0.074, 0.847, Empty, Empty, 6.799, 5.371
200, 4.19, Empty, 0.175, 0.018, Empty, 0.72, 2.019, 12.079, Empty, Empty, 1.449, 0.852, Empty, Empty, 11.783, 10.406, 0.015, 0.054, 0.765, Empty, 0.005, Empty, 0.007, Empty, 0.001, Empty, 0.053, 0.047, 0.074, NA, 18.882, 0.067, 0.003, 2.128, 1.846
201, 0.406, Empty, 0.272, 0.001, Empty, 0.027, 25.712, 63.089, Empty, Empty, 17.569, 0.114, Empty, Empty, 56.628, 193.03, 0.051, 9.608, 29.572, Empty, 19.003, 75.16, 6.11, Empty, 90.609, Empty, 10.693, 0.058, 0.847, 18.882, NA, 31.181, 0.001, 18.689, Empty
405, 0.602, 20.322, 28.807, 0.466, 5.541, Empty, 16.775, 51.933, 99.089, 85.699, 68.361, 22.457, 10.069, 46.646, Empty, 26.704, Empty, Empty, 98.38, 96.787, 76.322, 127.339, 52.472, 51.028, 24.782, 133.41, 103.127, Empty, 2.565, Empty, Empty, NA, 0.021, Empty, 0.053
777, 0.001, 0.391, 0.627, 0.624, 0.43, Empty, 0.207, 0.003, 0.099, 0.004, 0.018, 0.1, 0.235, 0.617, Empty, 0.002, Empty, Empty, 0.028, 0.079, 21.645, 0.002, 1.124, 2.506, 8.085, 0.022, 7.294, Empty, 10.921, Empty, Empty, 0.021, NA, Empty, 0.18
888, 72.285, Empty, 10.084, 3.103, Empty, 7.809, 26.74, 9.737, Empty, Empty, 3.296, 2.954, Empty, Empty, 5.236, 19.782, 4.781, 4.912, 3.399, Empty, 2.283, 6.11, 3.164, Empty, 19.064, Empty, 4.684, 1.964, 6.799, 2.128, 18.689, 4.867, 0.237, NA, 0.008
999, 0.002, 0.002, 0.002, Empty, 0.001, 0.002, 0.141, 0.003, 0.002, 0.002, Empty, Empty, 0.001, 0.001, 0.002, Empty, 0.032, 0.002, Empty, Empty, 0.003, Empty, Empty, 0.002, Empty, 0.007, Empty, 0.078, 5.371, 1.846, Empty, 0.053, 0.18, 0.008, NA, 
