time, x, y
1497942756, 17.167205781, 6.00316922489
1497942827, 16.8876588538, 6.05098366813
1497942828, 16.6315812552, 6.1474462382
1497942829, 16.3764700205, 6.27754975388
1497942830, 16.1241794614, 6.46507344594
1497942831, 15.8643366085, 6.64077760436
1497942832, 15.5957310687, 6.80960099524
1497942833, 15.3494416049, 7.00793124934
1497942835, 15.0982225294, 7.20648393946
1497942836, 15.0277726625, 7.31697070302
1497942837, 14.9934035605, 7.38859851688
1497942837, 14.9797309983, 7.43323822103
1497942838, 14.9801589026, 7.43667942372
1497942839, 14.9734168645, 7.41510306593
1497942845, 14.9798283649, 7.42124897088
1497942846, 14.9811891877, 7.40744159949
1497942847, 14.9751435254, 7.39988902895
1497942848, 14.9730794521, 7.40190070029
1497942849, 14.9696112614, 7.41663386716
1497942849, 14.9527036246, 7.41868138472
1497942850, 14.9080994102, 7.48344986272
1497942850, 14.8862830854, 7.50256222684
1497942851, 14.7932047181, 7.53041035071
1497942852, 14.5484352489, 7.50665458366
1497942853, 14.2745992115, 7.46987944198
1497942854, 14.003863242, 7.42458701191
1497942856, 13.8434292243, 7.3744336134
1497942857, 13.7945094274, 7.37181473572
1497942858, 13.7287417322, 7.3930852302
1497942859, 13.6003541364, 7.41141224368
1497942859, 13.5482967851, 7.40143013878
1497942860, 13.5145481501, 7.38768767003
1497942861, 13.4167662404, 7.54094092353
1497942862, 13.3413641475, 7.74666411614
1497942863, 13.3227448464, 7.94442241253
1497942864, 13.3226041961, 8.18380189869
1497942865, 13.3401790763, 8.42609027209
1497942865, 13.3727957226, 8.56551066686
1497942867, 13.4680976604, 8.81220384098
1497942871, 13.4819503005, 8.82404150532
1497942872, 13.4942284151, 8.83707398866
1497942874, 13.4907998146, 8.84148869958
1497942875, 13.4902198064, 8.84797825847
1497942876, 13.4887394786, 8.8563198343
1497942877, 13.4818467905, 8.85707766727
1497942877, 13.47605727, 8.85718692127
1497942878, 13.4759138253, 8.85659279355
1497942879, 13.4768208278, 8.85596406386
1497942880, 13.4734663273, 8.85211459847
1497942881, 13.4747833045, 8.85079042213
1497942882, 13.4826253886, 8.84883110471
1497942883, 13.4871966097, 8.84869871857
1497942883, 13.4850573133, 8.845474316
1497942884, 13.481634788, 8.83934585857
1497942885, 13.4742787114, 8.82487664464
1497942885, 13.4672648129, 8.8065857987
1497942886, 13.4378535216, 8.77732932552
1497942886, 13.3655614684, 8.74091451703
1497942887, 13.2168074235, 8.69311361932
1497942888, 13.1514466448, 8.68687888035
1497942888, 12.992162888, 8.70814048662
1497942889, 12.9181896088, 8.72791263226
1497942890, 12.8871357967, 8.74197921915
1497942895, 12.8336908745, 8.78442102814
1497942896, 12.8318432376, 8.7833354484
1497942896, 12.8325958977, 8.78213675999
1497942897, 12.8284299707, 8.78162673597
1497942898, 12.8235860123, 8.7754519833
1497942898, 12.8176953886, 8.7748481263
1497942899, 12.8157505029, 8.77499717322
1497942900, 12.8129476678, 8.77319843707
1497942901, 12.811561232, 8.76866820608
1497942901, 12.8116998313, 8.76114579125
1497942902, 12.8142626852, 8.76251956952
1497942906, 12.8735068476, 8.5100734781
1497942907, 12.9110139195, 8.25371203546
1497942909, 12.9177512301, 8.01433053811
1497942909, 12.9115191013, 7.95562204394
1497942910, 12.8531967378, 7.80867053338
1497942911, 12.7298789294, 7.63088778375
1497942913, 12.604090988, 7.51665941421
1497942914, 12.3834180134, 7.38925369472
1497942915, 12.1440985985, 7.30545983429
1497942915, 11.8842683286, 7.26760164271
1497942916, 11.66119441, 7.27078558868
1497942917, 11.4314356517, 7.31724979716
1497942918, 11.2693708582, 7.39399825614
1497942919, 11.0235537609, 7.5505515687
1497942920, 10.812659944, 7.76273276616
1497942921, 10.7047683966, 7.9264323405
1497942921, 10.6165889775, 8.1311138273
1497942922, 10.5819532309, 8.31280212904
1497942924, 10.5684272775, 8.56361676169
1497942924, 10.5741650354, 8.59345551211
1497942925, 10.584823778, 8.61173891196
1497942929, 10.5934768786, 8.62495753189
1497942930, 10.5986379541, 8.62146104049
1497942932, 10.6008558857, 8.62054841811
1497942933, 10.608615072, 8.61552544277
1497942934, 10.6086088716, 8.613407203
1497942934, 10.606627863, 8.6122071394
1497942935, 10.6102676988, 8.60967914967
